[2026-06-30 14:06:13] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 287ms
[2026-06-30 14:06:13] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 46ms
[2026-06-30 14:06:13] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 119ms
[2026-06-30 14:06:42] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 3ms
[2026-06-30 14:06:43] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 216ms
[2026-06-30 14:06:43] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 474ms
[2026-06-30 14:06:43] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 632ms
[2026-06-30 14:06:43] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 400ms
[2026-06-30 14:06:43] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 497ms
[2026-06-30 14:07:12] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 3ms
[2026-06-30 14:07:12] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 2ms
[2026-06-30 14:07:12] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 63ms
[2026-06-30 14:07:12] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 185ms
[2026-06-30 14:07:13] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 152ms
[2026-06-30 14:07:13] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 533ms
[2026-06-30 14:07:13] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 700ms
[2026-06-30 14:07:13] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 846ms
[2026-06-30 14:07:42] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 3ms
[2026-06-30 14:07:42] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 4ms
[2026-06-30 14:07:42] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 90ms
[2026-06-30 14:07:42] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 177ms
[2026-06-30 14:07:43] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-001"} | STATUS: OK | ROWS: 0 | TIME: 347ms
[2026-06-30 14:07:43] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 390ms
[2026-06-30 14:07:43] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 337ms
[2026-06-30 14:07:43] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 492ms
[2026-06-30 14:23:39] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 37ms
[2026-06-30 14:23:39] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 51ms
[2026-06-30 14:23:39] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 3ms
[2026-06-30 14:23:39] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 19ms
[2026-06-30 14:23:39] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 1ms
[2026-06-30 14:23:39] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 16ms
[2026-06-30 14:23:39] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 2ms
[2026-06-30 14:23:39] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 15ms
[2026-06-30 14:23:39] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 2ms
[2026-06-30 14:23:39] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 12ms
[2026-06-30 14:23:39] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 2ms
[2026-06-30 14:23:39] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 14ms
[2026-06-30 14:23:39] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 1ms
[2026-06-30 14:23:39] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 11ms
[2026-06-30 14:23:39] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 1ms
[2026-06-30 14:23:39] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 15ms
