[2026-07-09 10:03:07] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 171ms
[2026-07-09 10:03:07] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 3ms
[2026-07-09 10:03:07] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 24ms
[2026-07-09 10:03:07] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 46ms
[2026-07-09 10:03:07] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 2ms
[2026-07-09 10:03:08] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 482ms
[2026-07-09 10:03:08] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 596ms
[2026-07-09 10:03:08] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 5ms
[2026-07-09 10:03:08] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 26ms
[2026-07-09 10:03:08] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 44ms
[2026-07-09 10:03:08] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 3ms
[2026-07-09 10:03:08] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 28ms
[2026-07-09 10:03:08] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 52ms
[2026-07-09 10:03:08] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 17ms
[2026-07-09 10:03:08] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 909ms
[2026-07-09 10:03:08] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 244ms
[2026-07-09 10:03:08] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 266ms
[2026-07-09 10:03:08] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 312ms
[2026-07-09 10:03:08] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 334ms
[2026-07-09 10:03:08] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 369ms
[2026-07-09 10:03:10] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 239ms
[2026-07-09 10:03:11] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 276ms
[2026-07-09 10:03:52] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 225ms
[2026-07-09 10:03:52] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 209ms
[2026-07-09 10:04:29] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 8ms
[2026-07-09 10:04:29] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 38ms
[2026-07-09 10:04:29] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 41ms
[2026-07-09 10:04:29] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 2ms
[2026-07-09 10:04:29] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 20ms
[2026-07-09 10:04:29] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 39ms
[2026-07-09 10:04:29] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 2ms
[2026-07-09 10:04:29] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 18ms
[2026-07-09 10:04:29] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 59ms
[2026-07-09 10:04:29] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 3ms
[2026-07-09 10:04:29] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 22ms
[2026-07-09 10:04:29] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 44ms
[2026-07-09 10:04:29] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 3ms
[2026-07-09 10:04:29] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 38ms
[2026-07-09 10:04:29] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 81ms
[2026-07-09 10:04:29] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 218ms
[2026-07-09 10:04:29] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 164ms
[2026-07-09 10:04:39] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 224ms
